Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance cycling(mi),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2017-07-03,,,,,1.547,,8.000,,,,3963.966,
2017-07-04,,,,,2.384,,13.000,,,,5955.034,
2017-07-05,,,,,1.451,,7.000,,,,3763.000,
2017-07-06,,,,,1.529,,7.000,,,,3703.000,
2017-07-07,,,,,2.578,,,,,,6081.622,
2017-07-08,,,,,1.479,,9.000,,,,3637.378,
2017-07-09,,,,,2.360,,7.000,,,,6072.488,
2017-07-10,,,,,1.669,,4.000,,,,4317.512,
2017-07-11,,,,,1.276,,3.000,,,,3234.000,
2017-07-12,,,,,1.352,,4.000,,,,3357.000,
2017-07-13,,,,,1.371,,4.000,,,,3415.000,
2017-07-14,,,,,2.239,,9.000,,,,5731.000,
2017-07-15,,,,,3.894,,12.000,,,,9585.984,
2017-07-16,,,,,2.662,,13.000,,,,6648.016,
2017-07-17,,,,,1.602,,6.000,,,,4057.470,
2017-07-18,,,,,2.972,,3.000,,,,7046.530,
2017-07-19,,,,,1.325,,1.000,,,,3153.000,
2017-07-20,,,,,1.721,,7.000,,,,4394.000,
2017-07-21,,,,,1.624,,7.000,,,,4153.000,
2017-07-22,,,,,3.657,,4.000,,,,10135.420,
2017-07-23,,,,,2.091,,6.000,,,,5670.580,
2017-07-24,,,,,1.859,,8.000,,,,4675.000,
2017-07-25,,,,,1.791,,6.000,,,,4629.000,
2017-07-26,,,,,1.009,,4.000,,,,2499.000,
2017-07-27,,,,,1.903,,8.000,,,,4729.000,
2017-07-28,,,,,2.366,,12.000,,,,6135.000,
2017-07-29,,,,,1.327,,10.000,,,,3298.023,
2017-07-30,,,,,3.716,,15.000,,,,9589.977,
2017-07-31,,,,,5.270,,12.000,,,,12487.000,
2017-08-01,,,,,5.352,,19.000,,,,13135.259,
2017-08-02,,,,,3.565,,26.000,,,,8799.079,
2017-08-03,,,,,6.500,,8.000,,,,17056.319,
2017-08-04,,,,,5.940,,9.000,,,,15761.343,
2017-08-05,,,,,4.892,,12.000,,,,12540.000,
2017-08-06,,,,,2.711,,11.000,,,,6677.000,
2017-08-07,,,,,0.809,,5.000,,,,1896.000,
2017-08-08,,,,,0.867,,7.000,,,,2120.000,
2017-08-09,,,,,0.748,,3.000,,,,1822.000,
2017-08-10,,,,,1.848,,8.000,,,,4234.000,
2017-08-11,,,,,0.916,,2.000,,,,2253.000,
2017-08-12,,,,,2.027,,16.000,,,,4976.743,
2017-08-13,,,,,1.107,,16.000,,,,2775.257,
2017-08-14,,,,,1.040,,7.000,,,,2584.000,
2017-08-15,,,,,1.003,,9.000,,,,2251.000,
2017-08-16,,,,,1.028,,3.000,,,,2582.000,
2017-08-17,,,,,1.077,,8.000,,,,2644.000,
2017-08-18,,,,,1.399,,8.000,,,,3609.000,
2017-08-19,,,,,1.456,,5.000,,,,3731.343,
