Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance cycling(mi),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2020-01-01,400.887,,,,3.957,,11.000,61.797,,,10153.000,
2020-01-02,478.904,,,,3.651,,9.000,62.623,,,9647.000,
2020-01-03,264.575,,,,2.151,,1.000,51.582,,,4975.000,
2020-01-04,378.861,,,,1.827,,10.000,50.871,,,4120.000,
2020-01-05,550.222,,,,4.106,,27.000,57.118,,,8875.000,
2020-01-06,954.741,,,,3.639,,14.000,55.190,,,9206.000,
2020-01-07,597.062,,,,2.949,,7.000,55.627,,,7172.000,
2020-01-08,1376.283,,,,4.384,,10.000,53.495,,,10982.000,
2020-01-09,737.510,,,,6.346,,19.000,56.801,,,14800.000,
2020-01-10,463.236,,,,1.406,,12.000,54.829,,,2986.000,
2020-01-11,466.546,,,,2.019,,15.000,55.944,,,4486.000,
2020-01-12,590.221,,,,4.106,,9.000,60.989,,,9326.000,
2020-01-13,1080.127,,,,3.696,,4.000,50.227,,,9033.000,
2020-01-14,732.419,,,,3.674,,9.000,52.785,,,9265.000,
2020-01-15,753.872,,,,5.357,,19.000,56.127,,,12953.000,
2020-01-16,843.690,,,,3.313,,3.000,54.044,,,7947.000,
2020-01-17,790.323,,,,3.039,,14.000,53.289,,,7014.000,
2020-01-18,381.466,,,,2.307,,10.000,64.220,,,5110.000,
2020-01-19,564.707,,,,3.306,,9.000,52.366,,,7440.000,
2020-01-20,825.716,,,5.970,4.871,,13.000,53.484,,,11247.000,
2020-01-21,478.573,,,,2.966,,14.000,54.655,,,7177.000,
2020-01-22,475.142,,,,1.997,,3.000,52.559,,,4721.000,
2020-01-23,408.573,,,,2.546,,10.000,49.486,,,6099.000,
2020-01-24,451.809,,,,4.032,,25.000,53.684,,,9311.000,
2020-01-25,542.048,,,,1.948,,25.000,54.316,,,4203.000,
2020-01-26,426.121,,,,0.637,,5.000,53.834,,,1557.000,
2020-01-27,944.997,,,,3.597,,4.000,50.753,,,8657.000,
2020-01-28,471.617,,,,2.965,,9.000,54.039,,,7223.000,
2020-01-29,611.756,,,,2.769,,8.000,51.099,,,6718.000,
2020-01-30,631.580,8.000,826.994,,5.315,35.000,13.000,58.072,62.000,,11879.000,122.000
2020-01-31,1205.633,2.000,1741.413,,4.541,23.000,14.000,59.644,,,9382.000,
2020-02-01,614.078,10.000,1798.969,,3.870,8.000,13.000,58.229,57.000,60.000,8167.850,98.000
2020-02-02,364.476,12.000,1822.550,,1.241,10.000,5.000,57.972,58.000,57.000,2949.069,
2020-02-03,731.146,14.000,1859.469,,5.372,52.000,25.000,58.368,59.000,192.000,12961.521,97.000
2020-02-04,831.023,13.000,1828.495,,4.632,29.000,13.000,57.681,55.000,137.000,10508.888,101.000
2020-02-05,614.699,15.000,1877.082,,3.751,24.000,5.000,60.868,58.000,147.000,8744.975,88.000
2020-02-06,580.499,15.000,1852.838,,4.132,23.000,3.000,66.194,59.000,148.000,9776.534,85.000
2020-02-07,354.151,6.000,1761.815,,1.503,6.000,7.000,51.940,57.000,56.000,3507.231,78.000
2020-02-08,364.022,11.000,1801.168,,1.486,5.000,3.000,57.038,55.000,65.000,3503.849,86.000
2020-02-09,269.838,2.000,1737.828,,1.752,4.000,11.000,53.153,56.000,17.000,3968.000,86.000
2020-02-10,622.767,10.000,1795.550,,1.926,13.000,2.000,52.997,55.000,76.000,4621.066,86.000
2020-02-11,427.259,10.000,1803.656,,1.935,13.000,9.000,55.232,59.000,83.000,4656.000,95.500
2020-02-12,473.478,11.000,1808.070,,2.183,11.000,5.000,54.495,57.000,95.000,5322.299,95.000
2020-02-13,380.839,,1735.224,,0.420,,1.000,50.843,,,1057.000,
2020-02-14,541.467,5.000,1785.112,,2.749,24.000,6.000,56.171,69.000,66.000,6097.655,97.000
2020-02-15,435.681,3.000,1751.503,,1.363,8.000,6.000,60.041,,42.000,3396.000,79.000
2020-02-16,591.281,6.000,1781.900,,3.846,20.000,6.000,53.598,64.000,125.000,9691.000,88.000
2020-02-17,221.094,,1735.224,,0.539,,4.000,49.925,,,1147.000,
2020-02-18,441.897,9.000,1796.603,,1.876,16.000,6.000,50.188,55.000,64.000,4421.508,91.000
2020-02-19,437.825,14.000,1822.023,,2.455,27.000,6.000,53.285,57.000,99.000,5976.406,91.500
2020-02-20,352.089,2.000,1736.447,,1.157,4.000,8.000,51.533,,17.000,2545.000,
2020-02-21,369.737,6.000,1806.064,,1.522,3.000,3.000,56.753,71.000,40.000,3562.724,115.000
2020-02-22,458.910,10.000,1812.727,,3.164,21.000,7.000,59.267,58.000,114.000,7407.231,101.000
2020-02-23,508.799,12.000,1811.708,,3.178,21.000,9.000,56.224,55.000,117.000,7478.000,90.500
2020-02-24,635.489,12.000,1829.433,,2.551,10.000,5.000,60.126,59.000,118.000,6309.680,87.000
2020-02-25,593.224,16.000,1867.661,,3.132,40.000,5.000,56.473,53.000,120.000,8049.565,88.000
2020-02-26,403.304,14.000,1839.234,,0.998,2.000,1.000,55.954,57.000,45.000,2426.871,
2020-02-27,467.002,8.000,1801.418,,1.788,11.000,5.000,54.259,59.000,83.000,4747.505,
2020-02-28,529.703,6.000,1808.795,,2.571,10.000,10.000,97.958,89.000,86.000,6124.352,102.500
2020-02-29,601.765,15.000,1823.549,,5.622,49.000,5.000,75.070,62.000,164.000,12217.510,102.500
2020-03-01,685.147,9.000,1820.304,,7.725,38.000,4.000,55.112,57.000,212.000,18083.062,98.000
2020-03-02,814.384,10.000,1822.031,,5.101,40.000,2.000,57.179,58.000,152.000,11548.832,102.500
2020-03-03,660.029,12.000,1832.412,,3.609,40.000,8.000,58.491,59.000,131.000,8351.833,94.500
2020-03-04,719.344,9.000,1800.067,,3.725,23.000,24.000,56.543,56.000,89.000,8612.916,94.000
2020-03-05,767.317,12.000,1857.541,,4.329,56.000,14.000,59.494,56.000,131.000,10578.683,90.000
2020-03-06,674.803,11.000,1814.058,,5.103,40.000,17.802,59.107,57.000,92.000,11717.000,103.000
2020-03-07,811.617,7.000,1795.166,,5.602,37.000,13.198,61.271,55.000,150.000,13790.067,88.000
2020-03-08,611.058,2.000,1674.718,,3.508,43.000,3.000,54.291,,45.000,7787.575,101.000
2020-03-09,521.909,,1735.224,,2.271,,11.000,49.071,,,5500.000,
2020-03-10,914.233,8.000,1797.750,,4.490,57.000,13.000,54.319,58.000,133.000,10595.846,93.500
2020-03-11,713.905,14.000,1662.103,,6.295,56.000,6.000,56.428,57.000,173.000,14761.577,90.000
2020-03-12,609.346,8.000,667.560,,2.634,25.000,3.000,56.538,59.000,64.000,5039.000,85.500
2020-03-13,607.162,1.000,1659.139,,2.380,25.000,,52.088,,32.000,4506.000,90.000
