Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance cycling(mi),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2022-01-01,596.057,15.000,1869.497,,4.073,63.000,6.000,67.039,51.000,143.000,7571.000,93.000
2022-01-02,749.660,14.000,1804.073,14.240,3.413,59.000,3.000,57.582,48.000,149.000,6670.563,84.000
2022-01-03,691.847,16.000,1865.119,,2.049,91.000,3.000,57.140,44.000,114.000,3862.631,90.000
2022-01-04,1024.002,13.000,1874.313,16.090,2.022,99.000,5.000,64.491,47.000,134.000,3826.651,86.000
2022-01-05,499.706,12.000,1851.815,,2.312,86.000,2.000,61.004,60.989,110.000,4345.000,101.000
2022-01-06,471.397,14.000,1853.859,,3.339,36.000,4.000,58.743,49.000,97.000,6206.000,96.000
2022-01-07,381.229,15.000,1867.453,,2.434,3.000,2.000,57.058,51.000,95.000,4578.000,84.000
2022-01-08,584.064,15.000,1870.518,,4.032,39.000,15.823,64.493,57.000,138.000,7943.000,98.500
2022-01-09,766.570,6.000,1707.496,,5.053,18.000,22.000,65.611,64.000,40.000,9443.810,101.000
2022-01-10,478.294,18.000,1880.273,,2.477,26.000,5.000,66.171,55.000,87.000,4862.190,89.000
2022-01-11,425.412,9.000,1798.267,,2.521,35.000,6.000,61.068,49.000,82.000,4722.000,93.000
2022-01-12,764.025,6.000,1818.050,,3.742,54.000,17.000,61.937,72.000,83.000,7271.327,104.000
2022-01-13,848.085,,1749.077,,2.010,1.000,12.000,70.985,,,3922.673,
2022-01-14,745.344,2.000,1696.370,,2.527,12.000,5.000,57.846,63.000,22.000,4845.224,92.000
2022-01-15,369.972,11.000,1837.893,,2.792,23.000,2.000,59.442,51.000,91.000,5338.633,94.000
2022-01-16,403.233,8.000,1784.123,,1.542,9.000,1.000,55.005,49.000,38.000,2936.911,95.500
2022-01-17,631.682,13.000,1814.535,9.200,1.721,65.000,3.000,59.341,49.000,102.000,3253.762,89.000
2022-01-18,637.193,15.000,1854.674,,4.387,54.000,13.000,58.690,49.000,106.000,8251.000,76.000
2022-01-19,422.837,13.000,1856.367,,2.422,25.000,6.000,56.697,51.000,80.000,4470.000,96.000
2022-01-20,1135.361,16.000,1857.087,14.340,3.638,107.000,3.000,66.431,48.000,206.000,6830.000,101.000
2022-01-21,399.710,16.000,1847.855,,1.836,36.000,3.018,60.349,53.000,79.000,3488.000,80.000
2022-01-22,878.280,10.000,1838.721,,5.446,132.000,9.000,59.194,49.000,199.000,10183.206,102.000
2022-01-23,684.494,9.000,1770.969,,6.041,84.000,16.000,69.853,54.000,108.000,11334.554,102.000
2022-01-24,460.061,16.000,1856.578,,2.268,38.000,2.000,58.466,49.000,99.000,4207.482,97.500
2022-01-25,302.160,15.000,1849.821,,1.512,3.000,1.000,55.748,50.000,52.000,2778.000,92.000
2022-01-26,478.445,14.000,1878.386,,3.362,34.000,7.000,57.437,49.000,103.000,6306.000,93.000
2022-01-27,672.111,15.000,1880.299,,3.985,65.000,4.000,61.229,48.000,156.000,7447.000,94.000
2022-01-28,553.066,15.000,1861.844,4.800,2.115,35.000,2.000,62.417,50.000,88.000,3955.936,91.000
2022-01-29,301.636,11.000,1845.931,,1.209,4.000,1.000,68.661,57.000,45.000,2274.875,89.500
2022-01-30,419.607,10.000,1850.787,,3.396,41.000,9.000,68.553,56.000,94.000,6406.280,88.000
2022-01-31,804.426,12.000,1879.211,14.190,2.699,71.000,6.000,60.287,46.000,155.000,5118.000,85.000
2022-02-01,924.437,15.000,1874.061,,2.968,123.000,4.000,61.988,46.000,198.000,5561.000,94.000
2022-02-02,697.003,14.000,1862.755,,1.974,90.000,1.000,60.743,47.000,135.000,3754.000,85.000
2022-02-03,414.282,13.000,1863.972,,2.661,26.000,5.000,57.139,48.000,85.000,5019.000,95.000
2022-02-04,748.434,14.000,1868.024,,2.852,77.000,1.000,63.057,48.000,133.000,5290.000,90.500
2022-02-05,825.992,16.000,1940.603,,6.981,80.000,17.000,61.682,49.000,242.000,12971.098,116.000
2022-02-06,502.027,13.000,1844.773,,3.045,38.000,8.000,70.613,51.000,87.000,5773.000,89.000
2022-02-07,590.310,16.000,1872.927,,3.108,48.000,6.000,59.170,46.000,112.000,5901.483,97.000
2022-02-08,248.577,12.000,1821.304,,0.953,2.000,1.000,57.994,48.000,37.000,1742.547,97.000
2022-02-09,901.107,15.000,1902.515,,8.013,99.000,18.000,59.920,45.000,243.000,15030.000,103.000
2022-02-10,530.151,14.000,1878.927,,3.532,32.000,7.000,61.621,51.000,147.000,6646.274,94.000
2022-02-11,619.977,12.000,1904.210,,4.756,39.000,3.000,62.155,49.000,196.000,9380.552,96.000
2022-02-12,430.960,4.000,1787.375,,3.742,4.000,13.000,64.034,56.000,30.000,6514.000,89.000
2022-02-13,501.395,,1757.526,,4.778,1.000,1.000,54.370,,,8469.000,
2022-02-14,381.844,5.000,1802.187,,3.414,4.000,5.000,57.209,61.000,34.000,6348.000,88.500
2022-02-15,377.907,10.000,1852.581,,2.513,20.000,4.000,62.046,58.000,81.000,4902.907,95.000
2022-02-16,408.230,13.000,1880.841,,2.300,23.000,3.000,59.506,51.000,62.000,4324.000,96.000
2022-02-17,399.469,14.000,1856.898,,2.243,19.000,2.000,57.890,49.000,68.000,4167.000,101.000
2022-02-18,772.768,17.000,1899.741,,6.225,93.000,12.000,61.290,47.000,142.000,11680.000,101.000
2022-02-19,709.276,19.000,1900.950,,5.234,70.000,15.000,74.648,64.000,163.000,10065.281,110.000
2022-02-20,713.342,13.000,1881.534,,4.850,87.000,3.000,61.880,53.000,148.000,9030.000,119.000
2022-02-21,974.105,14.000,1879.544,14.450,2.625,86.000,3.000,63.354,59.560,158.000,4973.348,92.000
2022-02-22,391.771,13.000,1842.177,,2.241,21.000,3.000,61.025,48.000,58.000,4130.000,100.500
2022-02-23,356.648,14.000,1837.310,,2.459,23.000,3.000,59.248,49.000,71.000,4557.800,103.000
2022-02-24,947.074,13.000,1893.467,,4.528,100.000,13.000,67.357,51.000,164.000,8628.000,119.000
2022-02-25,334.640,13.000,1853.311,,1.754,8.000,1.000,61.107,51.000,43.000,3223.429,101.000
2022-02-26,629.165,14.000,1888.873,,3.358,53.000,6.000,61.866,50.000,155.000,6349.000,92.000
2022-02-27,635.326,14.000,1893.095,,3.205,59.000,3.000,71.600,57.000,132.000,6142.000,101.000
