Date,Weight (lb)
2021-01-04,155.3
2021-01-05,155.7
2021-01-06,155.9
2021-01-07,154.2
2021-01-08,156.0
2021-01-09,156.2
2021-01-10,156.0
2021-01-11,156.0
2021-01-12,155.6
2021-01-13,155.0
2021-01-14,152.0
2021-01-15,154.7
2021-01-16,155.6
2021-01-21,157.0
2021-01-23,154.7
2021-01-24,158.6
2021-01-25,163.4
2021-01-26,160.7
2021-01-27,158.2
2021-01-28,156.8
2021-01-29,156.5
2021-01-30,157.1
2021-01-31,158.2
2021-02-01,159.5
2021-02-02,157.1
2021-02-03,155.8
2021-02-04,156.2
2021-02-05,156.0
2021-02-06,155.5
2021-02-07,157.0
2021-02-08,157.3
2021-02-10,155.4
2021-02-11,156.1
2021-02-14,160.5
2021-02-15,158.3
2021-02-16,157.7
2021-02-17,157.5
2021-02-18,157.5
2021-02-19,157.2
2021-02-22,158.9
2021-02-23,155.1
2021-02-24,155.9
2021-03-04,154.4
2021-03-05,154.4
2021-03-09,154.9
2021-03-10,155.1
2021-03-11,153.8
2021-03-13,154.6
2021-03-14,157.3
2021-03-16,154.0
2021-03-17,155.6
2021-03-19,153.5
2021-03-23,151.0
2021-03-24,153.3
2021-03-25,151.8
2021-03-26,150.1
2021-03-27,153.6
2021-03-28,148.5
2021-03-29,151.7
2021-03-30,149.1
2021-03-31,150.8
