Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Weather: Humidity(%),Weather: Temperature(degF)
2022-10-07 17:15:05 - 2022-10-07 17:55:35,197.162,Traditional Strength Training,,1917.325,,,,0.626,0.300,0.070,0.004,0.000,109.175,160.000,4.945,,,60.000,51.800
2022-10-07 23:53:22 - 2022-10-08 00:12:38,73.944,Walking,0.749,1156.097,77.362,611.747,600.980,1.000,0.000,0.000,0.000,0.000,98.596,114.000,4.456,,,,
2022-10-08 09:44:58 - 2022-10-08 10:33:20,196.805,Walking,2.023,2586.300,81.759,608.737,590.456,0.969,0.007,0.024,0.000,0.000,97.819,155.000,6.296,,,60.000,48.200
2022-10-08 18:29:40 - 2022-10-08 19:03:12,143.345,Walking,1.478,2011.846,92.552,615.805,594.251,0.921,0.036,0.018,0.025,0.000,101.858,161.000,4.836,,,38.000,55.400
2022-10-09 09:42:08 - 2022-10-09 10:02:42,87.759,Walking,0.893,1008.660,73.720,615.066,599.275,0.922,0.033,0.045,0.000,0.000,98.411,147.000,4.790,,,,
2022-10-09 10:09:19 - 2022-10-09 10:29:01,131.449,Functional Strength Training,,1182.126,,,,0.302,0.647,0.051,0.000,0.000,119.289,149.000,6.893,,,52.000,53.600
2022-10-10 09:11:44 - 2022-10-10 09:42:30,120.698,Walking,1.257,1393.862,,622.869,584.191,1.000,0.000,0.000,0.000,0.000,87.777,108.000,4.733,,,64.000,57.200
2022-10-10 09:42:49 - 2022-10-10 09:51:24,61.072,Functional Strength Training,,515.250,,,,0.618,0.218,0.109,0.055,0.000,110.000,158.000,7.222,,,,
2022-10-10 09:51:32 - 2022-10-10 10:10:15,117.954,Walking,1.111,1123.007,82.972,618.841,590.869,0.864,0.098,0.005,0.033,0.000,112.126,166.000,6.615,,,,
2022-10-10 17:14:46 - 2022-10-10 18:17:43,288.381,Traditional Strength Training,,3777.230,,,,0.877,0.107,0.016,0.000,0.000,101.766,142.000,2.857,,,67.000,62.600
2022-10-11 08:51:00 - 2022-10-11 09:12:59,117.878,Walking,1.323,1318.372,88.353,622.270,596.875,0.988,0.000,0.012,0.000,0.000,102.091,149.000,5.838,,,,
2022-10-11 09:26:50 - 2022-10-11 10:11:51,484.709,Cycling (Indoor),,2701.022,,,,0.009,0.073,0.918,0.000,0.000,139.945,152.000,10.286,,,56.000,60.800
2022-10-11 09:26:54 - 2022-10-11 10:11:54,651.000,Cycling (Indoor),14.880,2700.000,,,,0.007,0.073,0.920,0.000,0.000,139.996,152.000,,19.900,21.300,,
2022-10-11 20:03:27 - 2022-10-11 20:20:14,78.723,Cycling,2.815,1007.311,14.731,607.725,595.918,0.289,0.711,0.000,0.000,0.000,117.423,132.000,5.392,,,90.000,57.200
2022-10-12 08:26:34 - 2022-10-12 08:50:18,149.684,Walking,1.361,1424.140,92.881,606.979,591.210,0.919,0.021,0.060,0.000,0.000,99.537,155.000,6.605,,,84.000,59.000
2022-10-12 17:13:02 - 2022-10-12 17:50:43,149.646,Walking,1.334,1664.674,93.799,683.488,593.165,0.937,0.016,0.047,0.000,0.000,92.124,154.000,5.760,,,72.000,57.200
2022-10-12 17:57:55 - 2022-10-12 18:44:03,244.528,Traditional Strength Training,,2768.040,,,,0.648,0.345,0.007,0.000,0.000,109.307,140.000,3.907,,,72.000,55.400
2022-10-13 08:18:43 - 2022-10-13 08:36:18,102.150,Walking,0.988,1055.317,,641.074,582.133,0.995,0.005,0.000,0.000,0.000,95.414,116.000,6.164,,,,
2022-10-13 08:37:36 - 2022-10-13 08:47:38,100.944,Jump Rope,0.763,601.816,,,,0.055,0.164,0.781,0.000,0.000,138.151,155.000,9.837,,,,
2022-10-13 08:49:01 - 2022-10-13 08:54:24,21.790,Walking,0.275,322.714,7.119,600.334,586.536,0.900,0.100,0.000,0.000,0.000,107.817,123.000,4.730,,,,
2022-10-13 08:54:37 - 2022-10-13 09:06:55,83.216,Functional Strength Training,,737.945,,,,0.495,0.495,0.010,0.000,0.000,114.990,137.000,6.936,,,68.000,46.400
2022-10-13 09:07:19 - 2022-10-13 09:26:09,97.529,Walking,1.091,1129.292,77.395,626.454,593.705,0.906,0.036,0.058,0.000,0.000,113.451,154.000,5.675,,,,
2022-10-13 18:09:31 - 2022-10-13 18:32:01,139.240,Cycling,4.179,1350.085,16.109,616.233,591.908,0.015,0.038,0.763,0.184,0.000,147.981,175.000,6.534,,,55.000,46.400
2022-10-13 20:45:00 - 2022-10-13 21:09:25,116.512,Cycling,4.258,1465.465,18.602,605.654,589.721,0.066,0.873,0.061,0.000,0.000,126.762,141.000,5.549,,,60.000,42.800
2022-10-14 08:45:29 - 2022-10-14 09:07:30,128.813,Walking,1.336,1321.849,79.429,647.042,592.698,0.928,0.019,0.053,0.000,0.000,103.534,149.000,6.206,,,,
2022-10-14 16:42:53 - 2022-10-14 17:28:00,132.368,Walking,1.408,1960.111,95.013,643.562,597.689,0.961,0.037,0.000,0.000,0.002,87.881,178.000,5.586,,,32.000,57.200
2022-10-15 09:33:38 - 2022-10-15 10:18:39,472.961,Cycling (Indoor),,2701.761,,,,0.018,0.234,0.748,0.000,0.000,137.215,148.000,10.069,,,73.000,42.800
2022-10-15 10:23:48 - 2022-10-15 10:51:50,349.893,Cycling (Indoor),,1681.792,,,,0.035,0.173,0.197,0.398,0.197,155.766,180.000,11.756,,,68.000,44.600
2022-10-15 11:55:07 - 2022-10-15 12:13:07,77.580,Walking,0.878,1080.487,,641.639,601.922,1.000,0.000,0.000,0.000,0.000,107.751,113.000,4.871,,,60.000,48.200
2022-10-15 13:20:42 - 2022-10-15 13:57:59,113.267,Walking,1.472,1991.108,,605.630,601.190,1.000,0.000,0.000,0.000,0.000,99.722,111.000,4.034,,,,
2022-10-15 22:05:41 - 2022-10-15 22:22:58,81.215,Walking,0.895,1037.213,6.726,610.097,604.453,1.000,0.000,0.000,0.000,0.000,102.433,110.000,6.164,,,,
2022-10-16 14:23:16 - 2022-10-16 15:46:37,425.485,Traditional Strength Training,,4952.780,,,,0.699,0.268,0.033,0.000,0.000,109.981,153.000,3.572,,,53.000,53.600
2022-10-17 08:54:00 - 2022-10-17 09:16:04,141.602,Walking,1.315,1324.635,92.126,625.816,590.465,0.924,0.027,0.049,0.000,0.000,101.981,152.000,6.691,,,,
2022-10-18 09:19:47 - 2022-10-18 09:33:49,71.671,Cycling,2.584,841.568,,607.176,593.269,0.000,0.196,0.791,0.013,0.000,141.458,158.000,5.737,,,66.000,37.400
2022-10-18 10:02:14 - 2022-10-18 10:13:19,48.538,Cycling,1.751,665.438,6.562,605.762,595.904,0.098,0.098,0.579,0.225,0.000,143.118,158.000,5.244,,,66.000,37.400
2022-10-18 10:13:40 - 2022-10-18 10:56:02,117.921,Walking,1.433,1728.770,80.315,653.435,602.003,0.774,0.217,0.009,0.000,0.000,105.721,139.000,3.649,,,64.000,37.400
2022-10-18 18:03:11 - 2022-10-18 18:23:58,78.131,Walking,1.000,1246.835,,,,0.942,0.058,0.000,0.000,0.000,108.439,120.000,4.526,,,,
2022-10-18 21:01:13 - 2022-10-18 21:46:40,202.162,Walking,2.342,2726.947,90.879,676.786,599.437,1.000,0.000,0.000,0.000,0.000,103.960,115.000,5.119,,,51.000,44.600
2022-10-19 08:44:36 - 2022-10-19 09:28:53,185.148,Walking,2.153,2355.321,82.874,644.489,590.846,0.954,0.014,0.032,0.000,0.000,93.240,151.000,4.818,,,,
2022-10-19 16:34:42 - 2022-10-19 17:35:04,565.823,Traditional Strength Training,,3622.903,,,,0.109,0.455,0.389,0.047,0.000,132.994,167.000,8.674,,,37.000,46.400
2022-10-20 10:28:46 - 2022-10-20 10:41:30,65.139,Cycling,2.247,763.647,6.791,606.474,596.860,0.129,0.842,0.029,0.000,0.000,124.750,138.000,5.747,,,39.000,44.600
2022-10-20 17:34:29 - 2022-10-20 18:22:07,123.458,Walking,1.342,1721.547,79.298,615.398,595.565,0.951,0.049,0.000,0.000,0.000,88.291,128.000,5.027,,,33.000,59.000
2022-10-21 08:57:04 - 2022-10-21 10:14:10,642.972,Traditional Strength Training,,4625.424,,,,0.155,0.555,0.268,0.021,0.001,128.460,177.000,7.629,,,63.000,48.200
2022-10-22 09:01:51 - 2022-10-22 09:23:24,99.456,Walking,0.981,1053.429,,627.152,594.229,1.000,0.000,0.000,0.000,0.000,89.086,100.000,6.014,,,64.000,59.000
2022-10-22 09:25:53 - 2022-10-22 09:35:33,104.245,Jump Rope,0.728,580.124,,,,0.017,0.033,0.700,0.250,0.000,148.050,168.000,10.218,,,,
2022-10-22 09:37:44 - 2022-10-22 10:06:50,138.160,Walking,1.373,1466.957,83.038,643.745,583.621,0.907,0.031,0.031,0.031,0.000,109.180,160.000,5.341,,,,
2022-10-23 08:42:23 - 2022-10-23 09:44:37,120.050,Walking,1.245,1662.029,101.411,636.123,583.369,0.992,0.008,0.000,0.000,0.000,88.446,119.000,14.491,,,65.000,64.400
2022-10-24 09:12:16 - 2022-10-24 10:15:11,452.812,Traditional Strength Training,,3774.400,,,,0.283,0.574,0.129,0.014,0.000,122.792,161.000,6.154,,,53.000,66.200
2022-10-24 15:06:23 - 2022-10-24 15:33:18,108.225,Walking,0.937,1614.802,,,,0.976,0.019,0.005,0.000,0.000,89.990,138.000,3.958,,,,
