Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Swimming stroke count(count),Weather: Humidity(%),Weather: Temperature(degF)
2022-02-20 16:35:05 - 2022-02-20 16:56:35,85.000,Yoga (Indoor),,1290.000,,,,1.000,0.000,0.000,0.000,0.000,100.833,107.000,,,,,,
2022-02-20 17:25:52 - 2022-02-20 17:36:03,54.065,Functional Strength Training,,610.804,,,,0.750,0.250,0.000,0.000,0.000,108.375,116.000,5.857,,,,56.000,46.400
2022-02-20 17:26:23 - 2022-02-20 17:36:23,62.000,Functional Strength Training (Indoor),,600.000,,,,0.833,0.167,0.000,0.000,0.000,110.833,116.000,,,,,,
2022-02-20 18:18:35 - 2022-02-20 19:04:19,224.032,Walking,2.665,2744.546,11.122,613.984,589.548,0.000,1.000,0.000,0.000,0.000,119.236,121.408,5.461,,,,63.000,44.600
2022-02-21 09:41:08 - 2022-02-21 10:00:58,76.413,Walking,1.081,1147.898,11.220,631.268,595.967,1.000,0.000,0.000,0.000,0.000,92.809,93.452,4.560,,,,81.000,37.400
2022-02-21 10:37:43 - 2022-02-21 10:46:20,54.586,Functional Strength Training,,517.711,,,,0.750,0.250,0.000,0.000,0.000,89.918,115.672,6.681,,,,83.000,39.200
2022-02-21 10:55:06 - 2022-02-21 11:40:34,478.154,Cycling (Indoor),,2700.757,,,,0.115,0.000,0.885,0.000,0.000,135.235,148.000,10.331,,,,80.000,39.200
2022-02-21 10:55:08 - 2022-02-21 11:40:39,601.000,Cycling (Indoor),14.450,2731.000,,,,0.115,0.000,0.885,0.000,0.000,135.235,148.000,,19.100,20.900,,,
2022-02-21 13:53:23 - 2022-02-21 14:03:29,51.055,Cooldown,,606.015,,,,1.000,0.000,0.000,0.000,0.000,87.485,87.485,5.508,,,,68.000,44.600
2022-02-21 13:53:40 - 2022-02-21 14:03:40,30.000,Preparation and Recovery (Indoor),,600.000,,,,,,,,,,,,,,,,
2022-02-22 08:52:30 - 2022-02-22 09:13:12,118.974,Walking,1.124,1241.521,35.925,599.651,590.731,1.000,0.000,0.000,0.000,0.000,99.868,101.589,6.231,,,,93.000,35.600
2022-02-23 11:00:45 - 2022-02-23 11:24:40,84.748,Walking,1.102,1114.969,11.647,610.395,585.211,1.000,0.000,0.000,0.000,0.000,92.130,110.516,4.396,,,,63.000,19.400
2022-02-24 09:14:30 - 2022-02-24 09:37:46,79.845,Walking,0.796,862.971,388.550,620.824,582.269,0.000,1.000,0.000,0.000,0.000,124.797,131.054,4.319,,,,71.000,24.800
2022-02-24 16:54:26 - 2022-02-24 17:01:27,24.962,Walking,0.299,420.374,,,,0.000,1.000,0.000,0.000,0.000,115.543,115.543,4.395,,,,84.000,28.400
2022-02-24 17:01:48 - 2022-02-24 17:46:06,365.437,Functional Strength Training,,2658.407,,,,0.000,0.500,0.500,0.000,0.000,136.482,151.397,8.205,,,,84.000,26.600
2022-02-26 09:17:35 - 2022-02-26 09:44:34,118.758,Walking,1.173,1618.850,9.974,607.542,592.605,1.000,0.000,0.000,0.000,0.000,92.499,94.681,4.993,,,,71.000,19.400
2022-02-26 11:59:19 - 2022-02-26 12:20:38,89.761,Yoga,,1279.032,,,,1.000,0.000,0.000,0.000,0.000,77.086,101.000,4.195,,,,58.000,26.600
2022-02-26 11:59:46 - 2022-02-26 12:19:46,85.000,Yoga (Indoor),,1200.000,,,,1.000,0.000,0.000,0.000,0.000,75.400,101.000,,,,,,
2022-02-27 11:46:27 - 2022-02-27 12:36:56,165.120,Functional Strength Training,,1635.366,,,,0.750,0.250,0.000,0.000,0.000,103.000,124.930,5.333,,,,51.000,39.200
2022-02-27 19:55:18 - 2022-02-27 20:14:54,69.713,Walking (Indoor),0.646,1176.300,,,,0.922,0.078,0.000,0.000,0.000,106.450,125.000,3.980,,,,67.000,33.800
2022-02-28 17:34:56 - 2022-02-28 18:27:37,301.758,Functional Strength Training,,3161.283,,,,0.769,0.231,0.000,0.000,0.000,106.985,133.158,6.157,,,,47.000,50.000
