Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Swimming stroke count(count),Weather: Humidity(%),Weather: Temperature(degF)
2020-01-20 10:01:53 - 2020-01-20 10:02:39,2.000,Cycling (Indoor),0.060,46.000,,,,,,,,,,,,1.600,18.700,,,
2020-01-20 10:04:59 - 2020-01-20 10:24:59,227.000,Cycling (Indoor),5.910,1200.000,,,,,,,,,,,,17.800,26.600,,,
2020-04-06 07:28:08 - 2020-04-06 07:52:59,119.464,Walking,1.388,1490.397,33.038,625.653,576.721,1.000,0.000,0.000,0.000,0.000,95.948,101.635,5.414,,,,78.000,41.000
2020-04-06 11:47:17 - 2020-04-06 12:19:18,158.533,Walking,1.965,1920.710,49.180,616.219,589.787,1.000,0.000,0.000,0.000,0.000,90.973,92.378,5.629,,,,47.000,55.000
2020-04-07 09:35:16 - 2020-04-07 09:58:39,187.041,Walking,2.140,1403.468,14.173,604.621,591.422,0.334,0.333,0.000,0.000,0.333,137.496,179.843,8.321,,,,79.000,62.000
2020-04-08 10:07:16 - 2020-04-08 10:50:28,245.108,Walking,2.914,2592.327,58.301,607.503,560.249,1.000,0.000,0.000,0.000,0.000,96.419,98.791,6.246,,,,77.000,55.000
2020-04-11 14:21:42 - 2020-04-11 14:36:46,196.519,Running,2.034,865.457,53.543,896.764,849.046,0.333,0.445,0.000,0.222,0.000,125.667,160.000,12.186,,,,30.000,61.000
2020-04-13 11:45:15 - 2020-04-13 12:13:58,166.989,Walking,1.849,1722.535,56.627,607.886,591.574,1.000,0.000,0.000,0.000,0.000,100.379,106.026,6.423,,,,67.000,37.000
2020-04-28 07:52:27 - 2020-04-28 07:58:41,19.642,Running,0.244,117.687,,,,0.667,0.000,0.333,0.000,0.000,121.500,146.000,,,,,,
2020-04-28 07:52:36 - 2020-04-28 08:08:17,202.112,Running,2.008,940.982,3.740,614.742,582.908,0.500,0.000,0.500,0.000,0.000,129.034,149.204,13.119,,,,,
2020-05-04 08:00:47 - 2020-05-04 08:31:53,174.904,Walking,2.080,1865.964,81.430,612.545,591.624,1.000,0.000,0.000,0.000,0.000,93.891,101.254,6.254,,,,83.000,39.000
2020-05-12 17:56:13 - 2020-05-12 18:51:20,248.827,Walking,3.085,3307.091,39.764,612.054,597.745,0.688,0.312,0.000,0.000,0.000,106.047,124.000,5.262,,,,50.000,50.000
2020-05-13 10:05:29 - 2020-05-13 10:41:56,211.613,Walking,2.334,2187.064,14.304,608.033,591.753,1.000,0.000,0.000,0.000,0.000,101.174,105.927,6.348,,,,42.000,53.000
2020-05-18 13:53:13 - 2020-05-18 14:41:45,220.423,Walking,2.834,2911.362,46.654,605.836,587.966,1.000,0.000,0.000,0.000,0.000,98.148,100.648,5.244,,,,85.000,56.000
2020-05-20 12:24:23 - 2020-05-20 13:15:44,236.566,Walking,2.790,3081.223,32.874,602.138,596.254,0.833,0.000,0.167,0.000,0.000,103.045,155.000,5.308,,,,68.000,58.000
2020-05-21 18:18:09 - 2020-05-21 18:45:43,111.005,Walking,1.370,1653.593,180.118,695.488,590.561,1.000,0.000,0.000,0.000,0.000,93.594,102.307,4.691,,,,65.000,61.000
2020-05-22 07:50:26 - 2020-05-22 08:18:41,116.539,Walking,1.445,1695.345,41.404,622.585,597.877,1.000,0.000,0.000,0.000,0.000,95.688,102.000,4.806,,,,90.000,56.000
