Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Weather: Humidity(%),Weather: Temperature(degF)
2021-07-12 12:34:05 - 2021-07-12 12:44:05,62.000,Functional Strength Training (Indoor),,600.000,,,,,,,,,,,,,,,
2021-07-12 16:59:49 - 2021-07-12 17:06:10,82.006,HIIT,,381.171,,,,0.000,0.000,1.000,0.000,0.000,142.215,142.215,12.527,,,84.000,71.600
2021-07-12 17:16:37 - 2021-07-12 17:58:14,249.875,Functional Strength Training,,2205.242,,,,0.250,0.750,0.000,0.000,0.000,117.153,129.722,6.726,,,85.000,71.600
2021-07-12 17:59:22 - 2021-07-12 18:07:04,39.013,Core Training,,461.787,,,,1.000,0.000,0.000,0.000,0.000,114.033,114.033,5.770,,,83.000,71.600
2021-07-13 08:18:10 - 2021-07-13 08:29:47,49.357,Walking,0.583,697.052,6.759,597.542,560.171,1.000,0.000,0.000,0.000,0.000,93.945,96.800,5.049,,,90.000,71.600
2021-07-13 18:06:58 - 2021-07-13 18:22:28,91.728,Cycling,2.821,930.367,18.143,613.793,591.226,0.000,0.000,1.000,0.000,0.000,148.639,154.535,6.873,,,61.000,80.600
2021-07-13 21:10:51 - 2021-07-13 21:24:13,79.048,Cycling,2.255,802.163,13.681,615.995,588.645,0.000,0.000,1.000,0.000,0.000,137.244,138.422,6.591,,,72.000,75.200
2021-07-14 09:28:01 - 2021-07-14 09:45:08,52.781,Walking,0.611,1027.399,20.341,665.955,604.656,1.000,0.000,0.000,0.000,0.000,77.584,79.996,3.830,,,68.000,78.800
2021-07-14 13:24:42 - 2021-07-14 13:56:51,158.018,Walking,1.804,1928.796,33.169,636.861,585.915,1.000,0.000,0.000,0.000,0.000,95.610,96.852,5.552,,,51.000,86.000
2021-07-14 16:41:18 - 2021-07-14 17:12:57,109.558,Walking,1.339,1899.647,14.731,612.174,584.572,1.000,0.000,0.000,0.000,0.000,96.571,105.062,4.216,,,57.000,82.400
2021-07-15 08:42:58 - 2021-07-15 08:55:45,58.020,Walking,0.646,766.443,9.613,632.786,598.251,1.000,0.000,0.000,0.000,0.000,92.876,95.353,5.245,,,,
2021-07-15 13:59:07 - 2021-07-15 14:04:41,43.880,Cycling,1.118,333.251,6.726,609.465,595.134,0.000,0.000,1.000,0.000,0.000,139.651,139.651,8.664,,,,
2021-07-15 15:31:57 - 2021-07-15 15:40:34,37.843,Cycling,1.106,517.030,6.627,652.148,595.091,1.000,0.000,0.000,0.000,0.000,114.917,114.917,5.624,,,,
2021-07-16 07:55:51 - 2021-07-16 08:05:56,104.931,HIIT,,605.399,,,,0.000,0.000,1.000,0.000,0.000,137.291,137.291,10.319,,,89.000,68.000
2021-07-16 08:20:01 - 2021-07-16 08:28:50,57.198,Functional Strength Training,,529.730,,,,0.000,1.000,0.000,0.000,0.000,119.379,119.379,6.959,,,90.000,68.000
2021-07-16 17:49:14 - 2021-07-16 18:04:52,136.755,Cycling,2.813,937.563,38.812,613.758,582.392,0.000,0.000,1.000,0.000,0.000,139.614,142.124,9.300,,,70.000,71.600
2021-07-17 10:18:07 - 2021-07-17 11:09:21,213.570,Functional Strength Training,,3073.617,,,,1.000,0.000,0.000,0.000,0.000,99.963,114.144,4.780,,,66.000,75.200
2021-07-17 11:13:48 - 2021-07-17 11:35:13,137.469,Yoga,,1284.709,,,,0.333,0.667,0.000,0.000,0.000,118.754,126.457,8.181,,,61.000,75.200
2021-07-18 15:16:51 - 2021-07-18 15:47:00,225.704,Functional Strength Training,,1808.921,,,,0.000,0.667,0.333,0.000,0.000,127.000,135.386,7.756,,,51.000,80.600
2021-07-18 15:48:09 - 2021-07-18 16:17:52,195.733,Yoga,,1782.708,,,,0.000,1.000,0.000,0.000,0.000,122.297,127.881,8.798,,,53.000,80.600
2021-07-18 17:05:17 - 2021-07-18 17:15:47,39.849,Other (Indoor),,629.816,,,,1.000,0.000,0.000,0.000,0.000,73.511,99.000,1.730,,,,
2021-07-19 08:21:58 - 2021-07-19 08:29:00,31.143,Walking,0.307,421.943,,605.873,594.972,1.000,0.000,0.000,0.000,0.000,86.974,86.974,5.104,,,76.000,73.400
2021-07-19 12:38:32 - 2021-07-19 12:50:20,101.748,Cycling,2.387,708.438,29.724,613.928,577.991,0.000,0.000,0.500,0.500,0.000,152.455,155.543,9.288,,,55.000,82.400
2021-07-19 17:39:19 - 2021-07-19 18:00:28,136.957,Traditional Strength Training,,1269.015,,,,0.500,0.500,0.000,0.000,0.000,118.358,125.975,5.481,,,60.000,78.800
2021-07-19 18:14:10 - 2021-07-19 18:25:03,60.354,Cycling,1.900,653.081,,612.207,587.048,0.000,0.000,0.000,1.000,0.000,161.442,161.442,6.373,,,62.000,77.000
2021-07-20 08:22:52 - 2021-07-20 08:33:37,48.963,Walking,0.539,645.249,,604.331,592.674,1.000,0.000,0.000,0.000,0.000,90.869,90.869,5.236,,,68.000,73.400
2021-07-20 14:30:46 - 2021-07-20 14:43:18,64.635,Yoga,,751.729,,,,1.000,0.000,0.000,0.000,0.000,88.249,89.169,5.136,,,47.000,87.800
2021-07-20 14:31:09 - 2021-07-20 14:38:14,28.000,Yoga (Indoor),,425.000,,,,,,,,,,,,,,,
2021-07-20 17:59:41 - 2021-07-20 18:13:58,103.776,Cycling,2.796,856.978,22.047,621.777,585.424,0.000,0.000,0.000,1.000,0.000,158.430,161.465,8.072,,,63.000,80.600
2021-07-21 08:26:19 - 2021-07-21 08:37:12,46.906,Walking,0.562,652.655,11.188,620.769,593.018,1.000,0.000,0.000,0.000,0.000,88.969,88.969,5.130,,,81.000,66.200
2021-07-21 19:18:56 - 2021-07-21 20:01:53,182.399,Walking,2.217,2576.601,10.761,655.750,589.227,1.000,0.000,0.000,0.000,0.000,87.457,90.413,4.986,,,72.000,71.600
2021-07-22 08:54:37 - 2021-07-22 09:07:26,75.382,Cycling,2.277,768.871,30.249,616.325,586.170,0.000,0.000,1.000,0.000,0.000,143.936,150.833,6.844,,,73.000,73.400
2021-07-22 20:28:51 - 2021-07-22 20:41:35,81.568,Cycling,2.501,763.913,21.522,613.580,588.798,0.000,0.500,0.500,0.000,0.000,138.654,144.087,7.201,,,76.000,77.000
2021-07-23 23:22:34 - 2021-07-23 23:41:14,111.372,Cycling,3.689,1119.979,37.073,610.851,584.993,0.000,0.500,0.500,0.000,0.000,135.269,137.535,6.781,,,71.000,80.600
2021-07-24 14:29:28 - 2021-07-24 15:05:48,196.788,Walking,2.020,2180.382,56.037,603.910,591.426,1.000,0.000,0.000,0.000,0.000,100.221,107.333,6.013,,,49.000,93.200
2021-07-25 09:29:02 - 2021-07-25 10:17:30,118.928,Walking,1.497,1734.882,22.802,608.090,593.315,1.000,0.000,0.000,0.000,0.000,82.453,92.109,11.003,,,58.000,82.400
2021-07-25 13:11:43 - 2021-07-25 13:21:30,30.290,Functional Strength Training,,587.634,,,,1.000,0.000,0.000,0.000,0.000,93.964,93.964,3.954,,,35.000,89.600
2021-07-25 13:11:53 - 2021-07-25 13:21:53,62.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,92.750,101.000,,,,,
2021-07-25 13:28:24 - 2021-07-25 13:58:28,141.708,Functional Strength Training,,1804.592,,,,0.667,0.333,0.000,0.000,0.000,107.604,115.734,5.407,,,33.000,89.600
2021-07-25 18:32:02 - 2021-07-25 18:50:03,70.012,Walking,0.757,1080.763,32.185,599.642,565.944,1.000,0.000,0.000,0.000,0.000,90.971,92.059,4.591,,,34.000,87.800
2021-07-26 08:15:59 - 2021-07-26 08:26:05,101.616,HIIT,,605.505,,,,0.000,0.000,1.000,0.000,0.000,135.203,135.203,10.069,,,,
2021-07-26 13:57:32 - 2021-07-26 14:25:53,137.208,Walking,1.508,1700.518,17.552,610.001,591.193,1.000,0.000,0.000,0.000,0.000,94.304,100.846,5.459,,,30.000,91.400
2021-07-26 19:03:17 - 2021-07-26 19:17:51,121.544,Cycling,3.098,873.582,29.134,620.043,570.746,0.000,0.000,0.000,1.000,0.000,166.058,170.108,8.837,,,31.000,89.600
2021-07-26 22:31:17 - 2021-07-26 22:42:10,91.574,Cycling,2.454,653.349,,611.741,589.178,0.000,0.000,0.000,1.000,0.000,156.183,156.183,8.635,,,51.000,82.400
2021-07-27 08:22:08 - 2021-07-27 08:37:03,65.715,Walking,0.773,894.489,,623.667,598.630,1.000,0.000,0.000,0.000,0.000,92.072,92.246,5.155,,,67.000,78.800
2021-07-27 10:56:36 - 2021-07-27 11:13:21,77.630,Walking,0.880,1005.206,,599.190,568.119,1.000,0.000,0.000,0.000,0.000,93.451,101.000,6.359,,,52.000,82.400
2021-07-27 11:13:25 - 2021-07-27 11:25:16,76.971,Cycling,1.983,710.342,30.348,613.367,579.495,0.000,0.000,1.000,0.000,0.000,135.463,135.463,7.353,,,51.000,82.400
2021-07-27 16:48:02 - 2021-07-27 16:55:44,56.810,Rowing,,461.744,,,,0.000,1.000,0.000,0.000,0.000,117.486,117.486,7.729,,,47.000,87.800
2021-07-27 16:57:33 - 2021-07-27 17:34:55,350.361,Traditional Strength Training,,2241.746,,,,0.000,0.333,0.667,0.000,0.000,135.514,145.104,8.991,,,49.000,86.000
2021-07-27 17:48:35 - 2021-07-27 18:00:59,81.258,Cycling,2.346,744.534,35.696,609.803,582.983,0.000,0.000,1.000,0.000,0.000,144.416,145.727,7.175,,,46.000,89.600
2021-07-28 08:46:33 - 2021-07-28 08:57:21,43.074,Walking,0.549,648.797,,628.218,589.452,1.000,0.000,0.000,0.000,0.000,84.275,84.275,4.712,,,77.000,78.800
2021-07-28 14:04:41 - 2021-07-28 14:22:05,82.102,Walking,0.940,1043.327,15.682,612.112,587.872,1.000,0.000,0.000,0.000,0.000,94.106,97.166,5.335,,,55.000,89.600
2021-07-28 19:58:36 - 2021-07-28 20:31:24,121.432,Walking,1.306,1967.583,27.822,629.799,591.863,1.000,0.000,0.000,0.000,0.000,90.216,96.252,4.415,,,64.000,87.800
2021-07-29 15:11:29 - 2021-07-29 15:36:03,115.286,Walking,1.248,1473.944,23.819,603.440,592.742,1.000,0.000,0.000,0.000,0.000,91.457,93.826,5.363,,,69.000,82.400
2021-07-29 16:01:44 - 2021-07-29 16:11:53,24.023,Functional Strength Training,,609.136,,,,1.000,0.000,0.000,0.000,0.000,90.082,90.082,3.151,,,67.000,82.400
2021-07-29 16:02:09 - 2021-07-29 16:12:09,62.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,99.250,101.000,,,,,
2021-07-29 16:16:05 - 2021-07-29 16:40:02,100.099,Traditional Strength Training,,1436.842,,,,1.000,0.000,0.000,0.000,0.000,98.539,106.144,2.516,,,66.000,80.600
2021-07-29 16:42:44 - 2021-07-29 16:52:44,31.000,Preparation and Recovery (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,92.636,102.000,,,,,
2021-07-30 20:51:26 - 2021-07-30 21:07:47,93.869,Yoga,,981.115,,,,1.000,0.000,0.000,0.000,0.000,98.924,101.619,6.005,,,70.000,66.200
2021-07-30 20:52:19 - 2021-07-30 21:07:19,47.000,Preparation and Recovery (Indoor),,900.000,,,,,,,,,,,,,,,
2021-07-31 10:07:24 - 2021-07-31 10:20:02,60.182,Walking,0.604,758.357,8.268,606.444,593.465,1.000,0.000,0.000,0.000,0.000,90.321,92.962,5.438,,,54.000,73.400
2021-08-02 07:55:25 - 2021-08-02 08:15:53,75.185,Walking,0.999,1227.993,25.689,602.557,592.052,1.000,0.000,0.000,0.000,0.000,82.146,82.434,4.487,,,70.000,69.800
2021-08-02 18:35:01 - 2021-08-02 18:46:42,90.159,Cycling,2.556,700.953,17.684,611.223,585.439,0.000,0.000,1.000,0.000,0.000,145.512,145.512,8.249,,,41.000,75.200
2021-08-02 20:04:10 - 2021-08-02 20:13:35,77.755,Cycling,2.113,565.796,,614.478,567.608,0.000,0.000,0.000,1.000,0.000,164.920,164.920,9.017,,,50.000,73.400
2021-08-03 07:45:17 - 2021-08-03 08:14:03,144.979,Walking,1.538,1726.846,11.745,623.347,589.358,1.000,0.000,0.000,0.000,0.000,87.628,88.271,5.683,,,67.000,68.000
2021-08-03 11:00:29 - 2021-08-03 11:20:29,254.000,Cycling (Indoor),6.280,1200.000,,,,0.000,1.000,0.000,0.000,0.000,125.540,125.540,,18.900,20.500,,
2021-08-03 11:00:41 - 2021-08-03 11:20:42,193.978,Cycling (Indoor),,1200.680,,,,0.000,0.500,0.500,0.000,0.000,130.568,135.597,9.680,,,43.000,78.800
2021-08-03 11:23:04 - 2021-08-03 11:33:42,50.108,Traditional Strength Training,,637.582,,,,1.000,0.000,0.000,0.000,0.000,112.929,112.929,3.482,,,44.000,77.000
2021-08-03 11:23:33 - 2021-08-03 11:33:33,62.000,Functional Strength Training (Indoor),,600.000,,,,,,,,,,,,,,,
2021-08-03 18:55:50 - 2021-08-03 19:18:08,77.535,Walking,0.840,1338.233,,597.353,584.926,1.000,0.000,0.000,0.000,0.000,74.358,83.993,4.203,,,,
2021-08-04 17:33:17 - 2021-08-04 18:04:54,117.644,Walking,1.613,1896.135,22.244,625.453,591.631,1.000,0.000,0.000,0.000,0.000,84.224,86.299,4.507,,,37.000,82.400
2021-08-05 08:18:07 - 2021-08-05 08:28:28,40.340,Walking,0.591,621.187,,631.979,597.583,1.000,0.000,0.000,0.000,0.000,82.784,82.784,4.769,,,,
2021-08-05 17:42:18 - 2021-08-05 17:57:55,80.000,Cycling,2.600,936.446,8.497,613.908,580.106,0.000,0.500,0.500,0.000,0.000,128.660,138.398,6.116,,,35.000,84.200
2021-08-05 18:03:50 - 2021-08-05 18:28:50,104.576,Walking,1.287,1500.313,7.546,611.910,586.626,1.000,0.000,0.000,0.000,0.000,102.861,109.000,5.235,,,36.000,84.200
2021-08-06 08:32:17 - 2021-08-06 08:49:39,76.308,Walking,0.674,1042.335,13.845,602.530,592.973,1.000,0.000,0.000,0.000,0.000,95.702,100.912,5.008,,,62.000,73.400
2021-08-06 17:35:53 - 2021-08-06 17:44:25,44.369,Cycling,1.448,512.333,7.349,607.216,568.051,0.000,1.000,0.000,0.000,0.000,120.838,120.838,6.559,,,58.000,82.400
2021-08-06 18:39:45 - 2021-08-06 18:46:42,47.684,Cycling,1.297,417.365,17.684,614.048,580.027,0.000,0.000,1.000,0.000,0.000,139.094,139.094,7.487,,,60.000,80.600
2021-08-07 10:26:00 - 2021-08-07 10:56:55,163.450,Walking,1.704,1854.882,16.995,605.960,590.207,1.000,0.000,0.000,0.000,0.000,93.100,93.579,5.900,,,71.000,80.600
2021-08-07 12:42:47 - 2021-08-07 12:52:54,46.881,Functional Strength Training,,607.424,,,,1.000,0.000,0.000,0.000,0.000,102.041,102.041,5.336,,,57.000,87.800
2021-08-07 12:42:58 - 2021-08-07 12:52:58,62.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,111.000,111.000,,,,,
2021-08-07 12:56:17 - 2021-08-07 13:16:36,139.999,Barre,,1219.482,,,,0.000,1.000,0.000,0.000,0.000,120.883,123.391,6.085,,,58.000,87.800
2021-08-07 12:56:39 - 2021-08-07 13:16:39,125.000,Functional Strength Training (Indoor),,1200.000,,,,0.000,1.000,0.000,0.000,0.000,118.376,118.376,,,,,
2021-08-07 13:59:56 - 2021-08-07 14:10:13,58.547,Traditional Strength Training,,616.706,,,,0.000,1.000,0.000,0.000,0.000,116.893,116.893,4.970,,,52.000,87.800
2021-08-07 14:00:03 - 2021-08-07 14:10:03,62.000,Functional Strength Training (Indoor),,600.000,,,,0.000,1.000,0.000,0.000,0.000,116.893,116.893,,,,,
2021-08-07 18:58:17 - 2021-08-07 19:10:42,61.447,Cooldown,,636.344,,,,1.000,0.000,0.000,0.000,0.000,90.088,95.117,6.132,,,55.000,86.000
2021-08-07 18:58:22 - 2021-08-07 19:10:22,31.000,Preparation and Recovery (Indoor),,720.000,,,,1.000,0.000,0.000,0.000,0.000,95.117,95.117,,,,,
2021-08-07 19:13:24 - 2021-08-07 19:33:37,107.398,Yoga,,1212.841,,,,1.000,0.000,0.000,0.000,0.000,93.493,99.335,5.498,,,57.000,86.000
2021-08-07 19:13:27 - 2021-08-07 19:33:27,92.000,Yoga (Indoor),,1200.000,,,,1.000,0.000,0.000,0.000,0.000,99.335,99.335,,,,,
2021-08-07 22:53:07 - 2021-08-07 23:02:48,37.174,Other (Indoor),,581.586,,,,1.000,0.000,0.000,0.000,0.000,65.419,82.000,1.600,,,,
2021-08-08 09:27:19 - 2021-08-08 09:33:51,72.979,Walking,0.625,392.431,13.780,607.689,589.759,0.000,0.000,1.000,0.000,0.000,154.951,154.951,11.017,,,68.000,80.600
2021-08-09 08:23:14 - 2021-08-09 08:33:58,47.505,Walking,0.514,643.944,,604.949,590.865,1.000,0.000,0.000,0.000,0.000,87.221,87.221,5.165,,,,
2021-08-09 10:33:14 - 2021-08-09 12:03:15,1173.000,Cycling (Indoor),28.570,5401.000,,,,0.111,0.556,0.333,0.000,0.000,129.116,137.257,,19.000,21.100,,
2021-08-09 10:33:16 - 2021-08-09 12:03:17,763.276,Cycling (Indoor),,5400.847,,,,0.000,0.667,0.333,0.000,0.000,133.446,137.257,8.604,,,87.000,73.400
2021-08-09 13:39:20 - 2021-08-09 14:16:50,163.712,Cooldown,,2250.257,,,,1.000,0.000,0.000,0.000,0.000,76.514,85.539,4.992,,,74.000,78.800
2021-08-09 13:39:29 - 2021-08-09 13:49:29,31.000,Preparation and Recovery (Indoor),,600.000,,,,,,,,,,,,,,,
2021-08-09 16:45:55 - 2021-08-09 16:54:11,28.314,Walking,0.428,496.473,,599.838,593.045,1.000,0.000,0.000,0.000,0.000,84.851,84.851,4.313,,,75.000,78.800
2021-08-09 16:54:24 - 2021-08-09 17:06:36,67.222,Functional Strength Training,,732.139,,,,1.000,0.000,0.000,0.000,0.000,106.097,106.097,5.954,,,74.000,80.600
2021-08-09 17:07:03 - 2021-08-09 17:15:13,40.112,Walking,0.435,490.552,,599.928,575.966,1.000,0.000,0.000,0.000,0.000,106.710,106.710,5.629,,,74.000,80.600
2021-08-10 08:35:25 - 2021-08-10 08:43:25,33.757,Walking,0.426,480.196,,630.545,592.596,1.000,0.000,0.000,0.000,0.000,88.372,88.372,5.066,,,80.000,78.800
2021-08-10 08:43:44 - 2021-08-10 08:46:24,5.966,Functional Strength Training,,159.205,,,,1.000,0.000,0.000,0.000,0.000,89.000,100.000,3.120,,,79.000,80.600
2021-08-10 08:46:42 - 2021-08-10 08:55:14,28.176,Walking,0.436,511.601,15.486,619.032,591.356,1.000,0.000,0.000,0.000,0.000,88.505,88.505,4.349,,,79.000,80.600
2021-08-10 17:54:47 - 2021-08-10 18:04:47,62.000,Functional Strength Training (Indoor),,600.000,,,,0.500,0.500,0.000,0.000,0.000,106.825,119.000,,,,,
2021-08-10 17:54:49 - 2021-08-10 18:04:33,29.460,Functional Strength Training,,584.383,,,,1.000,0.000,0.000,0.000,0.000,94.650,94.650,3.872,,,60.000,91.400
2021-08-10 18:07:39 - 2021-08-10 18:09:24,8.647,Functional Strength Training,,105.246,,,,1.000,0.000,0.000,0.000,0.000,102.350,109.000,5.782,,,60.000,91.400
2021-08-14 15:12:47 - 2021-08-14 16:03:08,145.205,Walking,1.718,2466.200,39.042,604.452,593.116,1.000,0.000,0.000,0.000,0.000,77.274,84.347,4.223,,,34.000,78.800
2021-08-14 18:32:58 - 2021-08-14 19:38:58,92.956,Functional Strength Training,,2470.511,,,,1.000,0.000,0.000,0.000,0.000,79.906,90.149,3.609,,,36.000,75.200
2021-08-15 10:15:39 - 2021-08-15 11:20:26,153.292,Walking,1.598,2670.528,16.175,604.159,591.084,1.000,0.000,0.000,0.000,0.000,78.499,86.558,3.389,,,47.000,75.200
2021-08-15 11:27:16 - 2021-08-15 11:56:55,50.238,Functional Strength Training,,1056.445,,,,1.000,0.000,0.000,0.000,0.000,91.966,96.140,3.105,,,43.000,77.000
2021-08-15 12:03:15 - 2021-08-15 12:08:15,59.000,Cycling (Indoor),1.490,300.000,,,,0.459,0.279,0.262,0.000,0.000,121.541,152.000,,18.000,23.700,,
2021-08-15 12:03:20 - 2021-08-15 12:08:20,40.626,Cycling (Indoor),,299.974,,,,0.434,0.283,0.283,0.000,0.000,123.083,152.000,8.485,,,40.000,78.800
2021-08-15 12:09:04 - 2021-08-15 12:26:10,269.000,Cycling (Indoor),5.500,1026.000,,,,0.000,0.000,0.000,1.000,0.000,155.854,155.854,,19.300,26.000,,
2021-08-15 12:09:06 - 2021-08-15 12:26:14,215.234,Cycling (Indoor),,1027.281,,,,0.000,0.000,0.000,1.000,0.000,160.061,164.268,12.173,,,38.000,78.800
2021-08-15 18:19:08 - 2021-08-15 18:32:15,55.577,Walking,0.616,787.195,14.009,613.686,591.387,0.032,0.968,0.000,0.000,0.000,119.961,123.000,5.985,,,47.000,77.000
2021-08-16 08:21:42 - 2021-08-16 08:33:42,46.827,Walking,0.650,720.324,,627.313,592.577,1.000,0.000,0.000,0.000,0.000,83.456,83.456,4.678,,,60.000,71.600
2021-08-16 10:11:23 - 2021-08-16 10:58:29,445.587,Cycling (Indoor),,2825.457,,,,0.000,1.000,0.000,0.000,0.000,128.549,132.254,9.467,,,51.000,75.200
2021-08-16 10:11:27 - 2021-08-16 10:58:25,609.000,Cycling (Indoor),14.870,2818.000,,,,0.000,1.000,0.000,0.000,0.000,127.623,129.548,,19.000,20.800,,
2021-08-16 12:46:52 - 2021-08-16 13:26:10,60.882,Functional Strength Training,,2039.150,,,,1.000,0.000,0.000,0.000,0.000,85.542,93.145,2.843,,,46.000,77.000
2021-08-16 17:39:10 - 2021-08-16 17:53:06,94.113,Cycling,2.760,836.312,31.299,619.565,573.066,0.000,0.000,0.500,0.500,0.000,146.512,155.337,7.273,,,45.000,78.800
2021-08-16 19:50:47 - 2021-08-16 20:01:32,86.832,Cycling,2.325,644.655,14.304,613.916,580.054,0.000,0.000,1.000,0.000,0.000,149.969,149.969,8.534,,,60.000,71.600
2021-08-16 20:41:39 - 2021-08-16 21:11:26,188.757,Yoga,,1787.109,,,,1.000,0.000,0.000,0.000,0.000,107.112,114.804,7.298,,,61.000,71.600
2021-08-16 20:42:10 - 2021-08-16 21:12:10,124.000,Yoga (Indoor),,1800.000,,,,1.000,0.000,0.000,0.000,0.000,100.353,113.000,,,,,
2021-08-17 08:16:32 - 2021-08-17 08:24:37,36.048,Walking,0.429,485.891,,623.724,594.120,1.000,0.000,0.000,0.000,0.000,89.299,89.299,5.193,,,75.000,75.200
2021-08-17 08:24:46 - 2021-08-17 08:28:45,14.927,Functional Strength Training,,239.237,,,,1.000,0.000,0.000,0.000,0.000,98.290,112.000,4.580,,,,
2021-08-17 08:29:02 - 2021-08-17 08:32:13,37.877,Running,0.434,190.492,,615.098,589.747,0.083,0.111,0.361,0.445,0.000,149.139,169.000,12.362,,,,
2021-08-17 09:54:57 - 2021-08-17 10:15:58,156.432,Functional Strength Training,,1260.174,,,,0.000,1.000,0.000,0.000,0.000,130.376,132.418,7.801,,,72.000,77.000
2021-08-17 13:29:15 - 2021-08-17 13:40:51,81.747,Traditional Strength Training,,696.926,,,,0.000,1.000,0.000,0.000,0.000,119.732,119.732,6.195,,,65.000,78.800
2021-08-17 13:56:10 - 2021-08-17 14:03:37,33.401,Walking,0.399,447.184,,610.582,582.984,1.000,0.000,0.000,0.000,0.000,95.507,95.507,5.176,,,64.000,80.600
2021-08-17 14:04:17 - 2021-08-17 14:10:11,36.422,Functional Strength Training,,354.834,,,,1.000,0.000,0.000,0.000,0.000,114.202,114.202,6.757,,,,
2021-08-17 14:10:16 - 2021-08-17 14:18:03,42.778,Walking,0.443,467.153,7.087,617.950,592.507,1.000,0.000,0.000,0.000,0.000,106.829,106.829,6.147,,,,
2021-08-18 08:27:01 - 2021-08-18 08:35:01,27.986,Walking,0.420,480.235,,628.817,597.478,1.000,0.000,0.000,0.000,0.000,82.053,82.053,4.366,,,80.000,77.000
2021-08-18 08:35:48 - 2021-08-18 08:41:15,9.723,Functional Strength Training,,327.064,,,,1.000,0.000,0.000,0.000,0.000,83.165,83.165,2.714,,,,
2021-08-18 08:41:30 - 2021-08-18 08:49:51,32.694,Walking,0.447,500.243,,609.170,586.174,1.000,0.000,0.000,0.000,0.000,84.225,84.225,4.773,,,,
2021-08-18 10:10:29 - 2021-08-18 10:57:23,359.961,Cycling (Indoor),,2813.887,,,,0.000,1.000,0.000,0.000,0.000,126.545,131.798,7.925,,,71.000,80.600
2021-08-18 10:10:33 - 2021-08-18 10:55:33,590.000,Cycling (Indoor),14.310,2700.000,,,,0.000,1.000,0.000,0.000,0.000,128.580,131.798,,19.100,20.700,,
2021-08-18 14:08:52 - 2021-08-18 14:32:42,7.191,Functional Strength Training,,171.710,,,,0.996,0.004,0.000,0.000,0.000,73.758,116.000,2.978,,,65.000,82.400
2021-08-18 17:03:06 - 2021-08-18 17:07:26,2.267,Cycling,0.012,259.215,,602.067,588.619,0.935,0.065,0.000,0.000,0.000,82.652,123.000,13.426,,,69.000,82.400
2021-08-18 17:07:32 - 2021-08-18 17:19:32,70.491,Cycling,2.158,720.085,11.877,624.896,581.510,0.000,0.000,0.500,0.500,0.000,151.242,159.904,6.854,,,69.000,82.400
2021-08-18 17:53:08 - 2021-08-18 18:01:52,60.768,Cycling,1.754,524.005,,623.150,581.854,0.000,0.000,1.000,0.000,0.000,137.860,137.860,7.462,,,76.000,80.600
2021-08-19 08:41:10 - 2021-08-19 09:04:12,71.471,Walking,0.635,1382.212,14.239,,,1.000,0.000,0.000,0.000,0.000,78.681,82.279,3.809,,,77.000,80.600
2021-08-20 08:15:50 - 2021-08-20 08:23:36,31.057,Walking,0.411,466.499,,653.574,587.588,1.000,0.000,0.000,0.000,0.000,83.005,83.005,4.831,,,,
2021-08-20 08:24:02 - 2021-08-20 08:31:06,15.243,Functional Strength Training,,423.948,,,,1.000,0.000,0.000,0.000,0.000,86.294,86.294,3.053,,,80.000,78.800
2021-08-20 08:31:29 - 2021-08-20 08:43:58,52.282,Walking,0.647,749.855,17.192,615.259,589.989,1.000,0.000,0.000,0.000,0.000,87.983,88.503,4.924,,,81.000,78.800
2021-08-20 15:13:46 - 2021-08-20 15:26:54,97.798,Cycling,2.362,787.392,37.303,608.928,575.978,0.000,0.000,0.500,0.500,0.000,155.283,163.880,8.606,,,55.000,87.800
2021-08-20 17:25:28 - 2021-08-20 17:35:36,75.711,Rowing,,607.756,,,,0.000,0.000,1.000,0.000,0.000,135.442,135.442,7.775,,,58.000,84.200
2021-08-20 17:37:02 - 2021-08-20 18:08:57,244.287,Traditional Strength Training,,1883.405,,,,0.000,1.000,0.000,0.000,0.000,125.156,130.518,7.106,,,59.000,84.200
2021-08-20 18:11:44 - 2021-08-20 18:15:39,49.226,Cycling (Indoor),,235.557,,,,0.023,0.045,0.023,0.636,0.273,166.955,181.000,12.581,,,62.000,84.200
2021-08-20 18:29:10 - 2021-08-20 18:41:46,67.486,Cycling,2.348,755.893,18.045,617.988,588.362,0.000,0.000,0.500,0.500,0.000,155.520,157.080,6.069,,,59.000,84.200
2021-08-20 20:38:43 - 2021-08-20 20:54:14,81.865,Cooldown,,931.651,,,,1.000,0.000,0.000,0.000,0.000,84.920,89.156,5.881,,,66.000,80.600
