Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Weather: Humidity(%),Weather: Temperature(degF)
2021-06-14 17:08:46 - 2021-06-14 17:18:46,62.000,Functional Strength Training (Indoor),,600.000,,,,0.000,1.000,0.000,0.000,0.000,123.000,123.000,,,,,
2021-06-14 18:05:40 - 2021-06-14 18:22:23,95.673,Cycling,3.081,1003.092,12.073,612.431,581.693,0.000,0.000,1.000,0.000,0.000,139.165,141.927,6.546,,,44.000,75.200
2021-06-14 20:48:48 - 2021-06-14 21:06:55,111.431,Cycling,3.643,1086.225,15.551,629.190,588.407,0.000,0.000,0.500,0.500,0.000,154.392,157.070,6.646,,,54.000,69.800
2021-06-15 11:31:12 - 2021-06-15 12:06:33,154.569,Walking,2.024,2120.817,31.398,601.309,549.851,1.000,0.000,0.000,0.000,0.000,90.652,92.229,5.086,,,55.000,71.600
2021-06-16 14:02:16 - 2021-06-16 14:12:17,40.862,Functional Strength Training,,600.278,,,,1.000,0.000,0.000,0.000,0.000,101.050,101.050,4.810,,,40.000,71.600
2021-06-16 14:02:30 - 2021-06-16 14:12:30,62.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,96.350,101.050,,,,,
2021-06-16 14:14:06 - 2021-06-16 14:34:06,214.985,Traditional Strength Training,,1199.834,,,,0.000,0.000,1.000,0.000,0.000,146.306,151.972,10.498,,,38.000,71.600
2021-06-16 14:14:29 - 2021-06-16 14:34:29,125.000,Functional Strength Training (Indoor),,1200.000,,,,0.000,0.000,0.167,0.833,0.000,162.162,170.000,,,,,
2021-06-16 14:36:23 - 2021-06-16 14:46:46,55.676,Functional Strength Training,,623.196,,,,1.000,0.000,0.000,0.000,0.000,108.063,108.063,6.020,,,37.000,71.600
2021-06-16 14:36:48 - 2021-06-16 14:46:48,63.000,Functional Strength Training (Indoor),,600.000,,,,,,,,,,,,,,,
2021-06-16 17:38:10 - 2021-06-16 18:17:35,171.655,Walking,2.010,2365.620,,601.091,584.699,1.000,0.000,0.000,0.000,0.000,88.005,90.572,5.080,,,34.000,71.600
2021-06-16 19:34:57 - 2021-06-16 19:46:36,36.617,Cycling,1.852,698.532,,600.817,595.628,0.000,1.000,0.000,0.000,0.000,121.052,121.052,4.141,,,36.000,68.000
2021-06-17 12:34:22 - 2021-06-17 12:46:38,78.809,Cycling,2.401,736.314,13.156,607.699,546.989,0.000,0.000,0.500,0.500,0.000,152.015,166.697,7.041,,,30.000,84.200
2021-06-17 22:59:09 - 2021-06-17 23:25:15,107.333,Cycling,3.461,1565.835,64.469,639.411,556.945,0.000,0.000,1.000,0.000,0.000,139.490,146.562,5.332,,,43.000,80.600
2021-06-17 23:25:25 - 2021-06-17 23:46:00,91.000,Walking,0.881,1235.344,14.829,621.547,593.772,0.000,1.000,0.000,0.000,0.000,120.317,123.381,5.084,,,41.000,82.400
2021-06-18 09:44:13 - 2021-06-18 10:02:34,88.566,Walking,1.047,1100.685,6.890,597.280,544.748,1.000,0.000,0.000,0.000,0.000,90.863,93.191,5.468,,,72.000,75.200
2021-06-18 10:27:05 - 2021-06-20 10:12:11,796.627,Cycling (Indoor),,171905.507,,,,0.997,0.003,0.000,0.000,0.000,63.326,121.000,6.782,,,,
2021-06-18 10:27:28 - 2021-06-18 10:47:28,206.000,Cycling (Indoor),5.690,1200.000,,,,1.000,0.000,0.000,0.000,0.000,75.000,75.000,,17.200,22.500,,
2021-06-18 10:39:51 - 2021-06-18 10:47:18,65.322,Cycling (Indoor),,447.077,,,,,,,,,,,9.006,,,67.000,80.600
2021-06-18 10:53:12 - 2021-06-18 11:03:19,54.743,Traditional Strength Training,,607.397,,,,,,,,,,,5.396,,,66.000,80.600
2021-06-18 10:53:19 - 2021-06-18 11:03:19,62.000,Functional Strength Training (Indoor),,600.000,,,,,,,,,,,,,,,
2021-06-18 12:46:12 - 2021-06-18 13:04:32,79.868,Walking,0.858,1100.053,25.459,622.394,537.707,1.000,0.000,0.000,0.000,0.000,92.616,92.616,5.084,,,73.000,80.600
2021-06-21 18:16:05 - 2021-06-21 18:26:08,67.684,Functional Strength Training,,603.234,,,,0.000,1.000,0.000,0.000,0.000,120.786,120.786,7.097,,,43.000,69.800
2021-06-21 18:16:32 - 2021-06-21 18:26:32,62.000,Functional Strength Training (Indoor),,600.000,,,,0.000,1.000,0.000,0.000,0.000,126.400,127.000,,,,,
2021-06-21 18:27:31 - 2021-06-21 18:47:36,187.969,Traditional Strength Training,,1204.913,,,,0.000,0.500,0.500,0.000,0.000,134.022,136.767,9.001,,,44.000,69.800
2021-06-21 18:27:58 - 2021-06-21 18:47:58,125.000,Functional Strength Training (Indoor),,1200.000,,,,0.000,0.333,0.667,0.000,0.000,136.794,142.000,,,,,
