Date,Weight (lb)
2022-04-02,151.5
2022-04-03,150.7
2022-04-06,152.8
2022-04-10,154.0
2022-04-11,154.9
2022-04-12,154.4
2022-04-13,156.2
2022-04-15,155.2
2022-04-17,155.4
2022-04-18,155.4
2022-04-19,156.9
2022-04-21,155.9
2022-04-22,152.7
2022-04-23,153.3
2022-04-25,156.2
2022-04-26,153.0
2022-04-27,157.8
2022-04-28,154.5
2022-04-29,154.3
2022-04-30,155.7
2022-05-02,156.7
2022-05-03,154.5
2022-05-04,154.6
2022-05-05,154.1
2022-05-06,155.8
2022-05-08,158.7
2022-05-11,155.1
2022-05-12,156.3
2022-05-13,157.9
2022-05-16,157.7
2022-05-17,155.8
2022-05-18,156.2
2022-05-19,155.9
2022-05-20,155.0
2022-05-21,154.1
2022-05-22,157.0
2022-05-23,156.7
2022-05-24,155.7
2022-05-25,156.7
2022-05-26,157.8
2022-05-27,157.3
2022-05-30,154.9
2022-05-31,157.6
2022-06-01,157.0
2022-06-02,154.9
2022-06-03,155.4
2022-06-04,156.2
2022-06-06,158.2
2022-06-07,157.1
2022-06-08,158.8
2022-06-10,160.4
2022-06-11,158.6
2022-06-13,158.8
2022-06-15,157.2
2022-06-16,157.4
